id,algorithm,server_name,endpoint,start_time,end_time,total_time,success,client_ip,created_at
3421,least_connections,pdf1,/pdf2png,1775947429.1921258,1775947606.2315006,177.03937482833862,1,,1775947606.2337413
3422,round_robin,pdf1,/pdf2png,1775947428.199677,1775947606.23846,178.0387830734253,1,,1775947606.2386384
3423,round_robin,pdf1,/pdf2png,1775947429.6053786,1775947606.2620542,176.6566755771637,1,,1775947606.2622752
3424,round_robin,pdf1,/pdf2png,1775947975.4371367,1775947984.4760594,9.038922786712646,1,,1775947984.4762454
3425,round_robin,audio1,/file-request,1775948006.7723653,1775948007.5918865,0.8195211887359619,1,,1775948007.5920458
3426,least_connections,audio1,/file-request,1775948022.0572329,1775948022.6935604,0.6363275051116943,1,,1775948022.69371
3427,ip_hash,audio1,/file-request,1775948028.0784738,1775948028.8702893,0.7918155193328857,1,,1775948028.870416
3428,random,audio1,/file-request,1775948033.4263494,1775948034.223351,0.7970016002655029,1,,1775948034.2234833
3429,power_of_two,audio1,/file-request,1775948038.8923407,1775948039.7422493,0.8499085903167725,1,,1775948039.742375
3430,round_robin,img1,/webp2png,1775948053.7631154,1775948054.3154361,0.5523207187652588,1,,1775948054.3155715
3431,least_connections,img1,/webp2png,1775948061.9570765,1775948062.3572133,0.40013670921325684,1,,1775948062.3574116
3432,ip_hash,img1,/webp2png,1775948066.176446,1775948066.4665256,0.29007959365844727,1,,1775948066.466653
3433,random,img1,/webp2png,1775948070.9766057,1775948071.3663843,0.38977861404418945,1,,1775948071.366526
3434,power_of_two,img1,/webp2png,1775948075.3246162,1775948075.6370747,0.31245851516723633,1,,1775948075.6372623
3435,round_robin,rar1,/ziprar,1775948088.4115727,1775948089.297109,0.8855361938476562,1,,1775948089.2972474
3436,least_connections,rar1,/ziprar,1775948094.4898806,1775948095.3337855,0.843904972076416,1,,1775948095.3339882
3437,ip_hash,rar1,/ziprar,1775948103.6878114,1775948104.5396564,0.8518450260162354,1,,1775948104.5397952
3438,random,rar1,/ziprar,1775948109.0264084,1775948109.97079,0.9443814754486084,1,,1775948109.970925
3439,power_of_two,rar1,/ziprar,1775948114.2739139,1775948115.1232872,0.8493733406066895,1,,1775948115.1234317
3440,least_connections,img1,/webp2png,1776588803.1292894,1776588804.5388098,1.4095203876495361,1,,1776588804.5389984
3441,random,img1,/webp2png,1776588802.526029,1776588804.5666604,2.0406312942504883,1,,1776588804.566792
3442,power_of_two,img1,/webp2png,1776588802.6256342,1776588804.5921197,1.9664855003356934,1,,1776588804.592269
3443,random,img1,/webp2png,1776588802.882398,1776588804.5998847,1.71748685836792,1,,1776588804.6000996
3444,ip_hash,img1,/webp2png,1776588802.702493,1776588804.6053004,1.9028074741363525,1,,1776588804.605448
